imgWidth,imgHeight,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),T_p,people_detected,faces_detected
1904,1071,19.0531,0.1668,59.5512,0.0304,0.0832,59.8318,0,0
1904,1071,19.0855,0.1763,60.6786,0.033,0.0908,60.9789,0,0
1904,1071,19.1838,0.1738,54.6981,0.0287,0.0775,54.9782,0,0
1904,1071,18.7184,0.1658,49.2724,2.5923,0.0117,52.0423,2,0
1904,1071,18.3054,0.1712,49.4568,4.7917,0.0106,54.4304,4,0
1904,1071,17.5402,0.1644,49.2816,3.4529,0.0049,52.9039,3,0
1904,1071,18.3451,0.1621,48.3061,3.5948,0.0118,52.075,3,0
1904,1071,17.2631,0.1644,49.2124,2.4616,0.0107,51.8492,2,0
1904,1071,18.316,0.1665,50.7467,1.3848,0.0103,52.3085,1,0
1904,1071,18.7219,0.164,47.2355,2.3765,0.0116,49.7877,2,0
1904,1071,18.1431,0.1662,49.3747,2.432,0.0107,51.9837,2,0
1904,1071,18.8823,0.1673,52.5184,3.573,0.0116,56.2705,3,0
1904,1071,18.4408,0.1671,53.3135,3.6258,0.0115,57.118,3,0
1904,1071,18.5685,0.1639,53.8253,2.4549,0.0115,56.4557,2,0
1904,1071,19.0036,0.1673,52.6466,3.5207,0.0116,56.3463,3,0
1904,1071,19.0523,0.1621,56.83,3.601,0.0115,60.6048,3,0
1904,1071,18.9593,0.1616,56.258,0.0281,0.0744,56.5222,0,0
1904,1071,18.8893,0.1618,53.3623,1.4022,0.0105,54.937,1,0
1904,1071,19.0688,0.1692,47.2823,0.0012,0.029,47.4819,0,0
1904,1071,17.2122,0.1703,47.308,3.4372,0.0065,50.9222,3,0
1904,1071,16.7488,0.162,48.0747,2.6697,0.0143,50.9209,2,0
1904,1071,17.7546,0.1733,49.9174,2.8982,0.0107,52.9998,2,0
1904,1071,17.2366,0.1535,50.3138,2.9906,0.0097,53.4677,2,0
1904,1071,18.0415,0.1649,48.3328,3.8394,0.0105,52.3479,3,0
1904,1071,17.4904,0.1673,49.4004,0.0194,0.0925,49.6799,0,0
1904,1071,17.5482,0.1801,49.7966,0.0234,0.0815,50.0818,0,0
1904,1071,18.1824,0.1713,50.0979,0.0207,0.0417,50.3316,0,0
1904,1071,18.2524,0.1658,49.9248,0.0292,0.0395,50.1595,0,0
1904,1071,17.7694,0.1736,50.5634,0.0307,0.0755,50.8434,0,0
1904,1071,18.6397,0.1695,65.3521,0.0281,0.0912,65.641,0,0
1904,1071,18.6463,0.1687,56.1504,0.0321,0.0954,56.447,0,0
1904,1071,18.6519,0.1669,53.8366,0.0283,0.0737,54.1056,0,0
1904,1071,18.773,0.1672,55.3816,2.3854,0.0111,57.9455,2,0
1344,756,13.6438,0.0883,49.8174,2.1473,0.0119,52.065,2,0
1904,1071,17.5901,0.1673,50.1734,0.031,0.0846,50.4564,0,0
1904,1071,18.7239,0.1746,50.5064,0.028,0.0774,50.7866,0,0
1904,1071,18.6212,0.1658,52.9939,0.0315,0.0842,53.2756,0,0
1904,1071,18.8204,0.1679,53.565,2.4642,0.0117,56.2089,2,0
1344,756,18.861,0.0965,53.2302,2.1192,0.0105,55.4565,2,0
1344,756,18.8513,0.0937,50.8329,2.0962,0.0104,53.0333,2,0
1344,756,18.805,0.0886,50.6265,2.0668,0.0104,52.7925,2,0
1344,756,18.1077,0.0868,51.3139,2.1187,0.0106,53.5302,2,0
1344,756,17.9031,0.0911,50.1448,1.9775,0.0104,52.2239,2,0
1344,756,18.1156,0.0995,47.8982,2.9973,0.0097,51.0048,2,0
1344,756,18.0288,0.0924,48.0409,2.1689,0.0095,50.3118,2,0
1344,756,17.7377,0.095,48.7936,2.567,0.0062,51.462,2,0
1344,756,17.944,0.0941,48.1042,2.1148,0.0129,50.3261,2,0
1344,756,17.3114,0.101,49.4584,2.0929,0.0105,51.6628,2,0
1344,756,17.3039,0.1052,50.5786,2.3167,0.0143,53.016,2,0
1344,756,18.6093,0.0952,50.4946,2.1447,0.0115,52.7461,2,0
1344,756,17.4894,0.0985,52.2027,2.148,0.0104,54.4597,2,0
1344,756,18.5837,0.0906,53.7028,2.1042,0.0105,55.9081,2,0
1344,756,18.6235,0.0908,52.4786,2.1601,0.0122,54.7418,2,0
1344,756,18.6248,0.0956,51.1983,2.1579,0.0098,53.4617,2,0
1344,756,17.8687,0.0933,49.9706,2.1705,0.0103,52.2448,2,0
1344,756,17.5945,0.0889,50.3563,2.0713,0.0104,52.527,2,0
1344,756,18.5929,0.0953,49.7778,2.1815,0.0117,52.0664,2,0
1344,756,18.3187,0.0961,47.9654,2.3529,0.0112,50.4258,2,0
1344,756,18.911,0.0944,54.3375,2.1627,0.0106,56.6054,2,0
1344,756,18.9334,0.0921,54.8678,2.0828,0.0106,57.0535,2,0
1344,756,18.914,0.0923,52.2045,2.0923,0.0104,54.3996,2,0
1344,756,18.8102,0.0896,50.8268,2.3121,0.0106,53.2392,2,0
1344,756,18.9176,0.0905,49.4788,2.1907,0.0114,51.7716,2,0
1344,756,18.3455,0.0953,51.1665,2.2824,0.0155,53.5599,2,0
1344,756,17.5989,0.0892,52.7895,2.1604,0.012,55.0512,2,0
1344,756,19.2094,0.0918,53.4317,2.138,0.0116,55.6733,2,0
1344,756,19.1261,0.0951,52.7152,2.0731,0.0104,54.8939,2,0
1344,756,19.2979,0.0956,52.9958,2.2667,0.0152,55.3736,2,0
1344,756,18.6576,0.1071,52.8658,2.1042,0.0105,55.0877,2,0
1344,756,18.9817,0.0888,51.0926,2.1486,0.0105,53.3407,2,0
1344,756,18.4433,0.101,51.5981,2.1891,0.0105,53.8989,2,0
1344,756,18.4882,0.0968,51.715,2.1271,0.0133,53.9524,2,0
1344,756,17.6156,0.0889,48.3678,2.1081,0.0105,50.5755,2,0
1344,756,17.9239,0.0918,48.7695,1.9819,0.0084,50.8518,2,0
1344,756,18.944,0.1003,52.6407,13.0265,0.0123,65.7799,2,0
1344,756,19.0458,0.0958,54.3856,2.0889,0.0103,56.5807,2,0
1344,756,18.9005,0.0958,53.8775,2.1058,0.0115,56.0907,2,0
1344,756,18.5869,0.0948,52.7305,2.1499,0.0104,54.9857,2,0
1344,756,19.07,0.0997,52.0495,2.1952,0.0102,54.3547,2,0
1344,756,18.6522,0.091,50.4728,2.207,0.0104,52.7814,2,0
1344,756,17.2019,0.0977,49.4285,2.5896,0.0113,52.1272,2,0
1344,756,18.3156,0.0956,49.1726,2.1826,0.0096,51.4604,2,0
1344,756,17.4669,0.0946,50.0134,2.0674,0.0107,52.1863,2,0
1344,756,18.231,0.1016,49.1505,2.2104,0.0114,51.4742,2,0
1344,756,17.9201,0.096,48.7852,2.0051,0.0103,50.8968,2,0
1344,756,18.5423,0.09,48.8567,2.0664,0.0071,51.0204,2,0
1344,756,17.5365,0.0894,48.8721,2.0569,0.014,51.0326,2,0
1344,756,18.4134,0.0906,48.2842,2.0907,0.0105,50.476,2,0
1344,756,17.5967,0.0906,48.8496,2.1323,0.0132,51.0858,2,0
1344,756,18.9328,0.0916,49.5775,2.0386,0.0103,51.7182,2,0
1344,756,18.1393,0.1044,47.184,1.9802,0.0056,49.2743,2,0
1344,756,17.8385,0.0899,50.7851,2.1358,0.0103,53.0212,2,0
1344,756,18.8381,0.0879,50.6321,2.2006,0.0104,52.9311,2,0
1344,756,18.3663,0.0991,47.6652,2.1177,0.0105,49.8926,2,0
1344,756,18.3614,0.0911,53.5286,2.1569,0.0103,55.7871,2,0
1344,756,18.4659,0.0911,51.4652,2.1373,0.0104,53.7041,2,0
1344,756,18.3877,0.0882,52.1632,2.0638,0.0095,54.3248,2,0
1344,756,18.8739,0.0937,50.416,2.1302,0.0118,52.6518,2,0
1344,756,17.7162,0.0942,50.4048,2.1543,0.0103,52.6636,2,0
1344,756,18.0957,0.0966,49.1477,2.2065,0.0119,51.4628,2,0
1344,756,16.8378,0.0863,52.285,2.0808,0.0104,54.4626,2,0
1344,756,19.0331,0.1006,51.2196,2.0888,0.0115,53.4205,2,0
1344,756,18.9061,0.0882,51.0054,2.1148,0.0132,53.2217,2,0
1344,756,18.8572,0.1053,50.7444,2.1893,0.0105,53.0496,2,0
1344,756,18.6629,0.0987,49.4797,2.2016,0.0083,51.7887,2,0
1344,756,18.1632,0.0938,48.4464,2.3714,0.0046,50.9163,2,0
1344,756,17.4387,0.0982,47.179,2.7248,0.0087,50.0109,2,0
1344,756,16.1045,0.0953,61.4904,2.1156,0.0103,63.7118,2,0
1344,756,18.8329,0.1047,58.2381,2.0734,0.0103,60.4266,2,0
1344,756,18.7522,0.0906,51.4376,2.1988,0.0103,53.7374,2,0
1344,756,18.5557,0.0964,50.9757,2.1173,0.0104,53.2,2,0
1344,756,18.9593,0.0992,54.1856,2.0918,0.0104,56.3871,2,0
1344,756,18.8589,0.0937,53.7864,2.1574,0.0114,56.049,2,0
1344,756,18.9979,0.0926,51.8965,3.7629,0.0116,55.7637,2,0
1344,756,18.765,0.0992,51.9156,2.2083,0.0116,54.2348,2,0
1344,756,18.4059,0.0996,49.7854,2.1068,0.0104,52.0023,2,0
1344,756,18.1291,0.0929,52.8498,2.1473,0.0106,55.1006,2,0
1344,756,18.7591,0.092,52.5067,2.1484,0.0104,54.7576,2,0
1344,756,18.7474,0.0959,51.9997,2.0818,0.0104,54.1878,2,0
1344,756,18.8902,0.0965,53.0413,2.0962,0.0103,55.2444,2,0
1344,756,19.0031,0.0898,51.8851,2.0905,0.0116,54.077,2,0
1344,756,18.7426,0.0974,51.85,2.1165,0.0105,54.0745,2,0
1344,756,18.9928,0.0951,50.033,2.186,0.0095,52.3237,2,0
1344,756,18.6225,0.0915,49.073,2.286,0.0106,51.4612,2,0
1344,756,19.0683,0.1044,50.1767,2.6236,0.0117,52.9165,2,0
1344,756,17.8174,0.0995,49.6206,2.0324,0.0077,51.7603,2,0
1344,756,18.0929,0.0901,52.9657,2.1273,0.0109,55.1941,2,0
1344,756,17.6381,0.087,51.8681,2.1466,0.0108,54.1126,2,0
1344,756,18.351,0.094,50.1357,2.204,0.0104,52.4442,2,0
1344,756,17.8945,0.0901,48.6423,2.0183,0.0105,50.7613,2,0
1344,756,18.0136,0.0878,48.4594,2.2145,0.0106,50.7725,2,0
1344,756,18.7028,0.0925,54.6755,2.0872,0.0103,56.8656,2,0
1344,756,19.1335,0.0951,52.2034,2.1849,0.0105,54.494,2,0
1344,756,18.8301,0.0989,51.002,2.2044,0.0104,53.3159,2,0
1344,756,18.6181,0.0951,52.5916,2.1353,0.0103,54.8324,2,0
1344,756,18.4137,0.093,49.6279,2.1655,0.0103,51.8969,2,0
1344,756,18.7541,0.0975,50.8495,2.1563,0.0119,53.1153,2,0
1344,756,18.3507,0.1027,50.8769,2.0687,0.0109,53.0593,2,0
1344,756,18.3553,0.096,52.4889,2.1187,0.0102,54.714,2,0
1344,756,18.9993,0.0906,51.7404,2.1016,0.0103,53.943,2,0
1344,756,17.6208,0.0883,50.8533,2.1427,0.01,53.0944,2,0
1344,756,18.9038,0.0997,50.3664,2.1318,0.0104,52.6084,2,0
1344,756,18.2729,0.0941,46.0281,1.9578,0.0097,48.0898,2,0
1344,756,17.5663,0.0927,48.0742,2.781,0.0115,50.9596,2,0
1344,756,18.1352,0.0913,49.6688,2.1461,0.0075,51.9139,2,0
1344,756,18.6319,0.0936,50.7383,2.2005,0.0108,53.0432,2,0